tweet_id,favs_count,retweets
892420643555336193,34986,7341
892177421306343426,30294,5478
891815181378084864,22788,3621
891689557279858688,38250,7530
891327558926688256,36532,8110
891087950875897856,18426,2715
890971913173991426,10719,1757
890729181411237888,58937,16465
890609185150312448,25357,3768
890240255349198849,28937,6375
890006608113172480,27901,6404
889880896479866881,25377,4340
889665388333682689,43558,8725
889638837579907072,24495,3896
889531135344209921,13796,1966
889278841981685760,22861,4635
888917238123831296,26465,3904
888804989199671297,23236,3698
888554962724278272,17913,3006
888078434458587136,19804,3032
887705289381826560,27543,4711
887517139158093824,42129,10264
887473957103951883,62322,15676
887343217045368832,30567,9197
887101392804085760,27871,5204
886983233522544640,31555,6659
886736880519319552,10849,2765
886680336477933568,20439,3905
886366144734445568,19188,2760
886267009285017600,107,3
886258384151887873,25425,5517
886054160059072513,0,96
885984800019947520,29584,5854
885528943205470208,32670,5576
885518971528720385,18611,3260
885311592912609280,0,16126
885167619883638784,19885,3816
884925521741709313,69832,15750
884876753390489601,25266,4875
884562892145688576,22082,4098
884441805382717440,24646,4972
884247878851493888,65781,17719
884162670584377345,18540,2612
883838122936631299,19855,2984
883482846933004288,41634,8624
883360690899218434,20611,3212
883117836046086144,33690,5785
882992080364220416,21703,3384
882762694511734784,25658,4263
882627270321602560,25484,5289
882268110199369728,40643,10094
882045870035918850,26630,4244
881906580714921986,22147,2968
881666595344535552,46071,9322
881633300179243008,114,8
881536004380872706,44956,13982
881268444196462592,21177,4643
880935762899988482,15553,2441
880872448815771648,19372,3335
880465832366813184,25846,5427
880221127280381952,24491,3626
880095782870896641,25124,3797
879862464715927552,20367,3043
879674319642796034,288,10
879492040517615616,21386,2766
879415818425184262,96085,39021
879376492567855104,15346,2741
879130579576475649,0,5969
879050749262655488,20511,4126
879008229531029506,17311,2341
878776093423087618,17661,3597
878604707211726852,27357,6187
878404777348136964,0,1117
878316110768087041,0,5791
878281511006478336,7022,1117
878057613040115712,38335,5969
877736472329191424,71925,16564
877611172832227328,0,71
877556246731214848,20655,3320
877316821321428993,25000,4561
877201837425926144,24668,4862
876838120628539392,18860,2923
876537666061221889,21690,4127
876484053909872640,17123,2078
876120275196170240,25540,4082
875747767867523072,22916,3753
875144289856114688,20008,4301
875097192612077568,25051,5350
875021211251597312,23309,4146
874680097055178752,25402,4079
874434818259525634,0,12760
874296783580663808,23815,3634
874057562936811520,20777,3508
874012996292530176,31186,8979
873580283840344065,22159,3465
873337748698140672,0,1393
873213775632977920,6545,1393
872967104147763200,24913,4762
872820683541237760,13493,3284
872620804844003328,18980,3213
872486979161796608,37307,8038
872122724285648897,31325,7165
871879754684805121,34344,9655
871762521631449091,18506,3079
871515927908634625,18494,3067
871166179821445120,0,5065
871102520638267392,19178,4882
871032628920680449,20855,3372
870804317367881728,30832,5479
870726314365509632,110,3
870656317836468226,11263,2305
870374049280663552,76424,23677
870308999962521604,20127,3681
870063196459192321,33505,7379
869772420881756160,39197,9038
869702957897576449,25893,5591
869596645499047938,14691,2763
869227993411051520,18772,3346
868880397819494401,60025,12811
868639477480148993,0,1831
868622495443632128,24465,4703
868552278524837888,9275,1831
867900495410671616,22324,3735
867774946302451713,31305,6538
867421006826221569,14800,2225
867072653475098625,0,106
867051520902168576,29674,7057
866720684873056260,18429,4307
866686824827068416,17757,3092
866450705531457537,112675,31580
866334964761202691,48236,12760
866094527597207552,0,7502
865718153858494464,23744,5053
865359393868664832,24442,4493
865006731092295680,25902,6951
864873206498414592,29802,7810
864279568663928832,13512,2707
864197398364647424,27678,7931
863907417377173506,19099,3734
863553081350529029,14117,3783
863471782782697472,0,2173
863432100342583297,22034,4735
863427515083354112,2029,84
863079547188785154,8144,1002
863062471531167744,7799,2173
862831371563274240,17786,4634
862722525377298433,15866,3213
862457590147678208,18923,4442
862096992088072192,68598,20900
861383897657036800,33480,9697
861288531465048066,15928,3743
861005113778896900,15517,3464
860981674716409858,0,1935
860924035999428608,0,710
860563773140209665,6962,1935
860524505164394496,22004,4800
860276583193509888,17137,3200
860184849394610176,15496,5324
860177593139703809,0,28041
859924526012018688,18270,3726
859851578198683649,14419,3206
859607811541651456,17398,1410
859196978902773760,83588,27428
859074603037188101,31506,12462
858860390427611136,0,7398
858843525470990336,14591,3170
858471635011153920,20177,4451
858107933456039936,14724,2643
857989990357356544,15026,2364
857746408056729600,31980,9739
857393404942143489,5511,1498
857263160327368704,18836,4140
857214891891077121,210,16
857062103051644929,0,154
857029823797047296,17655,3649
856543823941562368,15362,2654
856526610513747968,11163,1733
856330835276025856,0,615
856288084350160898,487,15
856282028240666624,26070,5797
855862651834028034,313,22
855860136149123072,4600,894
855857698524602368,11195,1945
855851453814013952,43239,16741
855818117272018944,25120,5019
855459453768019968,28050,7600
855245323840757760,0,5506
855138241867124737,0,39
854732716440526848,21438,5617
854482394044301312,27547,6311
854365224396361728,17832,4349
854120357044912130,30225,6931
854010172552949760,15368,2921
853760880890318849,27027,5357
853639147608842240,32750,9297
853299958564483072,14666,3303
852936405516943360,0,1853
852912242202992640,8526,1678
852672615818899456,14153,2014
852553447878664193,15435,3249
852311364735569921,31439,9272
852226086759018497,18957,6376
852189679701164033,10915,1481
851861385021730816,0,19
851591660324737024,15489,3254
851464819735769094,23071,6605
851224888060895234,19700,5393
850753642995093505,29252,8483
850380195714523136,12500,2437
850333567704068097,3295,308
850145622816686080,15554,3547
850019790995546112,19468,4568
849776966551130114,28973,7124
849668094696017920,0,4661
849412302885593088,15176,2959
849336543269576704,10903,1770
849051919805034497,40447,7958
848690551926992896,24114,4080
848324959059550208,23654,4351
848213670039564288,7816,675
848212111729840128,15616,2840
847978865427394560,0,3066
847971574464610304,0,416
847962785489326080,22517,4794
847842811428974592,5186,1240
847617282490613760,6691,389
847606175596138505,17989,3235
847251039262605312,19654,4089
847157206088847362,19017,5505
847116187444137987,20589,3008
846874817362120707,19268,3706
846514051647705089,42715,10893
846505985330044928,13551,2900
846153765933735936,30260,8536
846139713627017216,29799,9563
846042936437604353,15334,2703
845812042753855489,28033,8220
845677943972139009,24214,4561
845397057150107648,7323,1684
845306882940190720,22416,5085
845098359547420673,0,7242
844979544864018432,13121,2412
844973813909606400,14442,2994
844580511645339650,15825,2944
844223788422217728,13158,2072
843981021012017153,14636,2806
843856843873095681,20686,4370
843604394117681152,16262,2590
843235543001513987,20711,5682
842846295480000512,14743,3452
842765311967449089,6487,1205
842535590457499648,17484,3335
842163532590374912,23561,5507
842115215311396866,13485,2877
841833993020538882,0,14244
841680585030541313,24885,7462
841439858740625411,12166,3485
841320156043304961,19115,5253
841314665196081154,15286,4410
841077006473256960,22073,5065
840761248237133825,0,1674
840728873075638272,0,15268
840698636975636481,172,2
840696689258311684,11866,923
840632337062862849,8699,1674
840370681858686976,15889,4342
840268004936019968,18595,5459
839990271299457024,12971,2165
839549326359670784,26514,7399
839290600511926273,0,137
839239871831150596,26196,6216
838952994649550848,19019,3825
838921590096166913,10782,1949
838916489579200512,0,32
838831947270979586,0,10516
838561493054533637,10620,1269
838476387338051585,21749,4535
838201503651401729,0,9601
838150277551247360,1611,318
838085839343206401,136,1
838083903487373313,17086,2973
837820167694528512,33014,7502
837482249356513284,3742,424
837471256429613056,12405,2159
837110210464448512,15565,2260
836989968035819520,12372,2201
836753516572119041,18794,4442
836677758902222849,12262,2128
836648853927522308,0,531
836397794269200385,0,26334
836380477523124226,14348,2867
836260088725786625,20683,4136
836001077879255040,18490,4087
835685285446955009,0,7797
835574547218894849,17282,3458
835536468978302976,0,1616
835309094223372289,0,20070
835297930240217089,15999,2859
835264098648616962,7493,1616
835246439529840640,2048,68
835172783151792128,25422,5526
835152434251116546,21731,2876
834931633769889797,10475,1556
834786237630337024,20853,5308
834574053763584002,13262,2414
834477809192075265,0,10211
834458053273591808,9347,1606
834209720923721728,19981,4551
834167344700198914,15398,3529
834089966724603904,9758,2050
834086379323871233,12696,2118
833863086058651648,13076,2309
833826103416520705,17636,3611
833732339549220864,0,212
833722901757046785,20320,3115
833479644947025920,14477,1961
833124694597443584,19672,4661
832998151111966721,12893,2114
832769181346996225,0,38
832757312314028032,16409,3480
832682457690300417,11548,2805
832645525019123713,2850,513
832636094638288896,15456,2678
832397543355072512,11654,2126
832369877331693569,16703,3066
832273440279240704,11049,2245
832215909146226688,0,5992
832215726631055365,0,8970
832088576586297345,61,2
832040443403784192,0,9226
832032802820481025,17378,4495
831939777352105988,23337,5908
831926988323639298,325,34
831911600680497154,26834,6257
831670449226514432,10161,1745
831650051525054464,6933,1853
831552930092285952,8742,2250
831322785565769729,9050,1495
831315979191906304,6365,1078
831309418084069378,11463,2378
831262627380748289,11588,1974
830956169170665475,7777,1435
830583320585068544,64968,16126
830173239259324417,0,5465
830097400375152640,9515,2824
829878982036299777,0,4814
829861396166877184,11949,1868
829501995190984704,30930,10211
829449946868879360,10199,1937
829141528400556032,23755,7085
829011960981237760,52025,15813
828801551087042563,0,3304
828770345708580865,24950,5650
828708714936930305,35597,10810
828650029636317184,9286,1292
828409743546925057,6205,1118
828408677031882754,7508,1242
828381636999917570,12288,2149
828376505180889089,7217,1034
828372645993398273,12281,2828
828361771580813312,2132,172
828046555563323392,11450,2760
828011680017821696,10109,2087
827933404142436356,19565,5068
827653905312006145,15131,2919
827600520311402496,7291,906
827324948884643840,15459,2927
827199976799354881,10329,2148
826958653328592898,21022,4814
826848821049180160,35326,9797
826615380357632002,0,3852
826598799820865537,5015,241
826598365270007810,9772,2272
826476773533745153,17974,4054
826240494070030336,12969,2524
826204788643753985,4762,885
826115272272650244,15279,3002
825876512159186944,10246,1799
825829644528148480,12468,2424
825535076884762624,55724,17036
825147591692263424,17865,4386
825120256414846976,0,1210
825026590719483904,6126,1210
824796380199809024,0,5341
824775126675836928,14587,3391
824663926340194305,10289,1709
824325613288833024,11560,10278
824297048279236611,14718,3731
824025158776213504,4728,581
823939628516474880,10408,2635
823719002937630720,0,10819
823699002998870016,13664,2441
823581115634085888,12734,2539
823333489516937216,689,22
823322678127919110,15383,3883
823269594223824897,0,9600
822975315408461824,16955,3340
822872901745569793,128620,41830
822859134160621569,12943,2200
822647212903690241,0,6200
822610361945911296,14488,2847
822489057087389700,17739,6200
822462944365645825,27298,13805
822244816520155136,34240,9600
822163064745328640,0,4596
821886076407029760,11077,2237
821813639212650496,0,3270
821765923262631936,8215,1614
821522889702862852,7873,1701
821421320206483457,0,5397
821407182352777218,11493,4183
821153421864615936,248,10
821149554670182400,8433,1895
821107785811234820,9397,2065
821044531881721856,12402,2212
820837357901512704,0,6514
820749716845686786,30899,9601
820690176645140481,11988,3138
820494788566847489,0,548
820446719150292993,0,2489
820314633777061888,3285,548
820078625395449857,19395,6111
820013781606658049,0,1136
819952236453363712,5214,1136
819924195358416896,12676,4745
819711362133872643,13113,3024
819588359383371776,9468,1942
819347104292290561,7083,1173
819238181065359361,2212,398
819227688460238848,22584,6514
819015337530290176,0,36037
819015331746349057,0,18549
819006400881917954,44520,18549
819004803107983360,85442,36037
818646164899774465,0,20347
818627210458333184,21984,7348
818614493328580609,9646,2459
818588835076603904,0,5954
818536468981415936,10644,2383
818307523543449600,0,7835
818259473185828864,10794,2190
818145370475810820,12044,2479
817908911860748288,4762,774
